period,i_start,delivered,throughput,losses,served_total,served_critical,demand_total,demand_critical,shortage,i_end,storage_mode,orders,arrivals
2035-01,65.0,0,65.0,2.925,8.333,6.667,8.333,6.667,0.0,53.742,BASE,"{""C"": 10.83, ""A"": 11.67, ""B"": 4.23}",{}
2035-02,53.742,0,0.0,0.0,8.333,6.667,8.333,6.667,0.0,45.408,BASE,"{""C"": 10.83, ""A"": 11.67, ""B"": 8.33}",{}
2035-03,45.408,0,0.0,0.0,8.333,6.667,8.333,6.667,0.0,37.075,BASE,"{""C"": 10.83, ""A"": 11.67, ""B"": 8.33}",{}
2035-04,37.075,0,0.0,0.0,8.333,6.667,8.333,6.667,0.0,28.742,BASE,"{""C"": 10.83, ""A"": 11.67, ""B"": 8.33}",{}
2035-05,28.742,4.227,4.227,0.19,8.333,6.667,8.333,6.667,0.0,24.445,BASE,"{""C"": 10.83, ""A"": 11.67, ""B"": 8.52}","{""B"": 4.23}"
2035-06,24.445,8.333,8.333,0.375,8.333,6.667,8.333,6.667,0.0,24.07,BASE,"{""C"": 10.83, ""A"": 11.67, ""B"": 8.71}","{""B"": 8.33}"
2035-07,24.07,8.333,8.333,0.375,8.333,6.667,8.333,6.667,0.0,23.695,BASE,"{""C"": 10.83, ""A"": 11.67, ""B"": 8.71}","{""B"": 8.33}"
2035-08,23.695,8.333,8.333,0.375,8.333,6.667,8.333,6.667,0.0,23.32,BASE,"{""C"": 10.83, ""A"": 11.67, ""B"": 8.71}","{""B"": 8.33}"
2035-09,23.32,8.524,8.524,0.384,8.333,6.667,8.333,6.667,0.0,23.127,BASE,"{""C"": 10.83, ""A"": 11.67, ""B"": 6.7}","{""B"": 8.52}"
2035-10,23.127,8.708,8.708,0.392,8.333,6.667,8.333,6.667,0.0,23.11,BASE,"{""C"": 10.83, ""A"": 11.67, ""B"": 0.39}","{""B"": 8.71}"
2035-11,23.11,8.708,8.708,0.392,8.333,6.667,8.333,6.667,0.0,23.093,BASE,"{""C"": 10.83, ""A"": 11.67, ""B"": 0.39}","{""B"": 8.71}"
2035-12,23.093,8.708,8.708,0.392,8.333,6.667,8.333,6.667,0.0,23.076,BASE,"{""C"": 10.83, ""A"": 11.67, ""B"": 0.39}","{""B"": 8.71}"
2036-01,23.076,18.365,18.365,0.826,11.667,8.75,11.667,8.75,0.0,28.948,BASE,"{""C"": 10.83, ""A"": 13.41, ""B"": 0.83}","{""A"": 11.67, ""B"": 6.7}"
2036-02,28.948,12.059,12.059,0.543,11.667,8.75,11.667,8.75,0.0,28.797,BASE,"{""C"": 10.83, ""A"": 4.72, ""B"": 0.54}","{""A"": 11.67, ""B"": 0.39}"
2036-03,28.797,12.059,12.059,0.543,11.667,8.75,11.667,8.75,0.0,28.646,BASE,"{""C"": 10.83, ""A"": 5.0, ""B"": 0.54}","{""A"": 11.67, ""B"": 0.39}"
2036-04,28.646,12.059,12.059,0.543,11.667,8.75,11.667,8.75,0.0,28.495,BASE,"{""C"": 10.83, ""A"": 5.0, ""B"": 0.54}","{""A"": 11.67, ""B"": 0.39}"
2036-05,28.495,12.493,12.493,0.562,11.667,8.75,11.667,8.75,0.0,28.76,BASE,"{""C"": 10.83, ""A"": 5.02, ""B"": 0.56}","{""A"": 11.67, ""B"": 0.83}"
2036-06,28.76,12.209,12.209,0.549,11.667,8.75,11.667,8.75,0.0,28.753,BASE,"{""C"": 10.83, ""A"": 4.99, ""B"": 0.55}","{""A"": 11.67, ""B"": 0.54}"
2036-07,28.753,12.209,12.209,0.147,11.667,8.75,11.667,8.75,0.0,29.149,ZBO,"{""C"": 10.83, ""A"": 4.07}","{""A"": 11.67, ""B"": 0.54}"
2036-08,29.149,12.209,12.209,0.147,11.667,8.75,11.667,8.75,0.0,29.545,ZBO,"{""C"": 10.83, ""A"": 5.15}","{""A"": 11.67, ""B"": 0.54}"
2036-09,29.545,12.229,12.229,0.147,11.667,8.75,11.667,8.75,0.0,29.96,ZBO,"{""C"": 10.83, ""A"": 5.15}","{""A"": 11.67, ""B"": 0.56}"
2036-10,29.96,12.216,12.216,0.147,11.667,8.75,11.667,8.75,0.0,30.363,ZBO,"{""C"": 10.83, ""A"": 5.15}","{""A"": 11.67, ""B"": 0.55}"
2036-11,30.363,11.667,11.667,0.14,11.667,8.75,11.667,8.75,0.0,30.223,ZBO,"{""C"": 10.83, ""A"": 5.14}","{""A"": 11.67}"
2036-12,30.223,11.667,11.667,0.14,11.667,8.75,11.667,8.75,0.0,30.083,ZBO,"{""C"": 10.83, ""A"": 5.14}","{""A"": 11.67}"
2037-01,30.083,24.245,24.245,0.291,15.833,11.25,15.833,11.25,0.0,38.204,ZBO,"{""C"": 10.83, ""A"": 8.98, ""B"": 0.07}","{""C"": 10.83, ""A"": 13.41}"
2037-02,38.204,15.55,15.55,0.187,15.833,11.25,15.833,11.25,0.0,37.733,ZBO,"{""C"": 10.83, ""A"": 10.11, ""B"": 0.2}","{""C"": 10.83, ""A"": 4.72}"
2037-03,37.733,15.833,15.833,0.19,15.833,11.25,15.833,11.25,0.0,37.543,ZBO,"{""C"": 10.83, ""A"": 9.99, ""B"": 1.12}","{""C"": 10.83, ""A"": 5.0}"
2037-04,37.543,15.833,15.833,0.19,15.833,11.25,15.833,11.25,0.0,37.353,ZBO,"{""C"": 10.83, ""A"": 9.07, ""B"": 0.04}","{""C"": 10.83, ""A"": 5.0}"
2037-05,37.353,15.925,15.925,0.191,15.833,11.25,15.833,11.25,0.0,37.254,ZBO,"{""C"": 10.83, ""A"": 10.15, ""B"": 0.04}","{""C"": 10.83, ""A"": 5.02, ""B"": 0.07}"
2037-06,37.254,16.02,16.02,0.192,15.833,11.25,15.833,11.25,0.0,37.249,ZBO,"{""C"": 10.83, ""A"": 10.15, ""B"": 0.05}","{""C"": 10.83, ""A"": 4.99, ""B"": 0.2}"
2037-07,37.249,16.023,16.023,0.192,15.833,11.25,15.833,11.25,0.0,37.246,ZBO,"{""C"": 10.83, ""A"": 10.15, ""B"": 0.05}","{""C"": 10.83, ""A"": 4.07, ""B"": 1.12}"
2037-08,37.246,16.023,16.023,0.192,15.833,11.25,15.833,11.25,0.0,37.244,ZBO,"{""C"": 10.83, ""A"": 10.14, ""B"": 0.05}","{""C"": 10.83, ""A"": 5.15, ""B"": 0.04}"
2037-09,37.244,16.024,16.024,0.192,15.833,11.25,15.833,11.25,0.0,37.243,ZBO,"{""C"": 10.83, ""A"": 10.14}","{""C"": 10.83, ""A"": 5.15, ""B"": 0.04}"
2037-10,37.243,16.026,16.026,0.192,15.833,11.25,15.833,11.25,0.0,37.243,ZBO,"{""C"": 10.83, ""A"": 10.19}","{""C"": 10.83, ""A"": 5.15, ""B"": 0.05}"
2037-11,37.243,16.026,16.026,0.192,15.833,11.25,15.833,11.25,0.0,37.243,ZBO,"{""D"": 10.0, ""C"": 10.83, ""A"": 0.19}","{""C"": 10.83, ""A"": 5.14, ""B"": 0.05}"
2037-12,37.243,16.026,16.026,0.192,15.833,11.25,15.833,11.25,0.0,37.243,ZBO,"{""D"": 0.36, ""C"": 10.83, ""A"": 9.83}","{""C"": 10.83, ""A"": 5.14, ""B"": 0.05}"
2038-01,37.243,29.814,29.814,0.358,20.833,14.167,20.833,14.167,0.0,45.866,ZBO,"{""D"": 0.37, ""C"": 10.83, ""A"": 15.83}","{""C"": 10.83, ""A"": 8.98, ""D"": 10.0}"
2038-02,45.866,21.312,21.312,0.256,20.833,14.167,20.833,14.167,0.0,46.089,ZBO,"{""D"": 1.18, ""C"": 10.83, ""A"": 15.83}","{""C"": 10.83, ""A"": 10.11, ""D"": 0.36}"
2038-03,46.089,21.191,21.191,0.254,20.833,14.167,20.833,14.167,0.0,46.192,ZBO,"{""D"": 0.11, ""C"": 10.83, ""A"": 15.83}","{""C"": 10.83, ""A"": 9.99, ""D"": 0.37}"
2038-04,46.192,21.089,21.089,0.253,20.833,14.167,20.833,14.167,0.0,46.195,ZBO,"{""D"": 0.11, ""C"": 10.83, ""A"": 15.83}","{""C"": 10.83, ""A"": 9.07, ""D"": 1.18}"
