period,i_start,delivered,throughput,losses,served_total,served_critical,demand_total,demand_critical,shortage,i_end,storage_mode,orders,arrivals
2035-01,65.0,0,65.0,2.925,8.333,6.667,8.333,6.667,0.0,53.742,BASE,"{""C"": 10.83, ""A"": 11.67}",{}
2035-02,53.742,0,0.0,0.0,8.333,6.667,8.333,6.667,0.0,45.408,BASE,"{""C"": 10.83, ""A"": 11.67, ""B"": 7.56}",{}
2035-03,45.408,0,0.0,0.0,8.333,6.667,8.333,6.667,0.0,37.075,BASE,"{""C"": 10.83, ""A"": 11.67, ""B"": 8.33}",{}
2035-04,37.075,0,0.0,0.0,8.333,6.667,8.333,6.667,0.0,28.742,BASE,"{""C"": 10.83, ""A"": 11.67, ""B"": 8.33}",{}
2035-05,28.742,0,0.0,0.0,8.333,6.667,8.333,6.667,0.0,20.408,BASE,"{""C"": 10.83, ""A"": 11.67, ""B"": 8.33}",{}
2035-06,20.408,7.56,7.56,0.34,8.333,6.667,8.333,6.667,0.0,19.295,BASE,"{""E"": 0.34, ""C"": 10.83, ""A"": 11.67, ""B"": 8.33}","{""B"": 7.56}"
2035-07,19.295,8.674,8.674,0.39,8.333,6.667,8.333,6.667,0.0,19.245,BASE,"{""E"": 0.39, ""C"": 10.83, ""A"": 11.67, ""B"": 8.33}","{""B"": 8.33, ""E"": 0.34}"
2035-08,19.245,8.724,8.724,0.393,8.333,6.667,8.333,6.667,0.0,19.243,BASE,"{""E"": 0.39, ""C"": 10.83, ""A"": 11.67, ""B"": 8.33}","{""B"": 8.33, ""E"": 0.39}"
2035-09,19.243,8.726,8.726,0.393,8.333,6.667,8.333,6.667,0.0,19.243,BASE,"{""E"": 0.39, ""C"": 10.83, ""A"": 11.67, ""B"": 6.31}","{""B"": 8.33, ""E"": 0.39}"
2035-10,19.243,8.726,8.726,0.393,8.333,6.667,8.333,6.667,0.0,19.243,BASE,"{""E"": 0.39, ""C"": 10.83, ""A"": 11.67}","{""B"": 8.33, ""E"": 0.39}"
2035-11,19.243,8.726,8.726,0.393,8.333,6.667,8.333,6.667,0.0,19.243,BASE,"{""E"": 0.39, ""C"": 10.83, ""A"": 11.67}","{""B"": 8.33, ""E"": 0.39}"
2035-12,19.243,8.726,8.726,0.393,8.333,6.667,8.333,6.667,0.0,19.243,BASE,"{""C"": 10.83, ""A"": 11.67, ""B"": 0.39}","{""B"": 8.33, ""E"": 0.39}"
2036-01,19.243,17.981,17.981,0.809,11.667,8.75,11.667,8.75,0.0,24.748,BASE,"{""E"": 1.2, ""C"": 10.83, ""A"": 15.83}","{""A"": 11.67, ""B"": 6.31}"
2036-02,24.748,12.868,12.868,0.579,11.667,8.75,11.667,8.75,0.0,25.371,BASE,"{""E"": 0.58, ""C"": 10.83, ""A"": 5.98}","{""A"": 11.67, ""E"": 1.2}"
2036-03,25.371,12.246,12.246,0.551,11.667,8.75,11.667,8.75,0.0,25.399,BASE,"{""E"": 0.18, ""C"": 10.83, ""A"": 5.37}","{""A"": 11.67, ""E"": 0.58}"
2036-04,25.399,12.235,12.235,0.551,11.667,8.75,11.667,8.75,0.0,25.417,BASE,"{""E"": 0.53, ""C"": 10.83, ""A"": 5.02}","{""A"": 11.67, ""B"": 0.39, ""E"": 0.18}"
2036-05,25.417,12.2,12.2,0.549,11.667,8.75,11.667,8.75,0.0,25.401,BASE,"{""E"": 0.55, ""C"": 10.83, ""A"": 5.0}","{""A"": 11.67, ""E"": 0.53}"
2036-06,25.401,12.216,12.216,0.55,11.667,8.75,11.667,8.75,0.0,25.4,BASE,"{""E"": 0.55, ""C"": 10.83, ""A"": 5.0}","{""A"": 11.67, ""E"": 0.55}"
2036-07,25.4,12.216,12.216,0.147,11.667,8.75,11.667,8.75,0.0,25.803,ZBO,"{""C"": 10.83, ""A"": 4.62}","{""A"": 11.67, ""E"": 0.55}"
2036-08,25.803,11.667,11.667,0.14,11.667,8.75,11.667,8.75,0.0,25.663,ZBO,"{""C"": 10.83, ""A"": 5.14}","{""A"": 11.67}"
