period,i_start,delivered,throughput,losses,served_total,served_critical,demand_total,demand_critical,shortage,i_end,storage_mode,orders,arrivals
2035-01,65.0,0,65.0,2.925,8.333,6.667,8.333,6.667,0.0,53.742,BASE,"{""C"": 10.83, ""A"": 11.67, ""B"": 4.23}",{}
2035-02,53.742,0,0.0,0.0,8.333,6.667,8.333,6.667,0.0,45.408,BASE,"{""C"": 10.83, ""A"": 11.67, ""B"": 8.33}",{}
2035-03,45.408,0,0.0,0.0,8.333,6.667,8.333,6.667,0.0,37.075,BASE,"{""C"": 10.83, ""A"": 11.67, ""B"": 8.33}",{}
2035-04,37.075,0,0.0,0.0,8.333,6.667,8.333,6.667,0.0,28.742,BASE,"{""C"": 10.83, ""A"": 11.67, ""B"": 8.33}",{}
2035-05,28.742,4.227,4.227,0.19,8.333,6.667,8.333,6.667,0.0,24.445,BASE,"{""C"": 10.83, ""A"": 11.67, ""B"": 8.52}","{""B"": 4.23}"
2035-06,24.445,8.333,8.333,0.375,8.333,6.667,8.333,6.667,0.0,24.07,BASE,"{""C"": 10.83, ""A"": 11.67, ""B"": 8.71}","{""B"": 8.33}"
2035-07,24.07,8.333,8.333,0.375,8.333,6.667,8.333,6.667,0.0,23.695,BASE,"{""C"": 10.83, ""A"": 11.67, ""B"": 8.71}","{""B"": 8.33}"
2035-08,23.695,8.333,8.333,0.375,8.333,6.667,8.333,6.667,0.0,23.32,BASE,"{""C"": 10.83, ""A"": 11.67, ""B"": 8.71}","{""B"": 8.33}"
2035-09,23.32,8.524,8.524,0.384,8.333,6.667,8.333,6.667,0.0,23.127,BASE,"{""C"": 10.83, ""A"": 11.67, ""B"": 6.7}","{""B"": 8.52}"
2035-10,23.127,8.708,8.708,0.392,8.333,6.667,8.333,6.667,0.0,23.11,BASE,"{""C"": 10.83, ""A"": 11.67, ""B"": 0.39}","{""B"": 8.71}"
2035-11,23.11,8.708,8.708,0.392,8.333,6.667,8.333,6.667,0.0,23.093,BASE,"{""C"": 10.83, ""A"": 11.67, ""B"": 0.39}","{""B"": 8.71}"
2035-12,23.093,8.708,8.708,0.392,8.333,6.667,8.333,6.667,0.0,23.076,BASE,"{""C"": 10.83, ""A"": 11.67, ""B"": 0.39}","{""B"": 8.71}"
2036-01,23.076,18.365,18.365,0.826,11.667,8.75,11.667,8.75,0.0,28.948,BASE,"{""C"": 10.83, ""A"": 15.83, ""B"": 0.83}","{""A"": 11.67, ""B"": 6.7}"
2036-02,28.948,12.059,12.059,0.543,11.667,8.75,11.667,8.75,0.0,28.797,BASE,"{""C"": 10.83, ""A"": 6.92, ""B"": 0.54}","{""A"": 11.67, ""B"": 0.39}"
2036-03,28.797,12.059,12.059,0.543,11.667,8.75,11.667,8.75,0.0,28.646,BASE,"{""C"": 10.83, ""A"": 5.0, ""B"": 0.54}","{""A"": 11.67, ""B"": 0.39}"
2036-04,28.646,12.059,12.059,0.543,11.667,8.75,11.667,8.75,0.0,28.495,BASE,"{""C"": 10.83, ""A"": 5.0, ""B"": 0.54}","{""A"": 11.67, ""B"": 0.39}"
2036-05,28.495,12.493,12.493,0.562,11.667,8.75,11.667,8.75,0.0,28.76,BASE,"{""C"": 10.83, ""A"": 5.02, ""B"": 0.56}","{""A"": 11.67, ""B"": 0.83}"
2036-06,28.76,12.209,12.209,0.549,11.667,8.75,11.667,8.75,0.0,28.753,BASE,"{""C"": 10.83, ""A"": 4.99, ""B"": 0.55}","{""A"": 11.67, ""B"": 0.54}"
2036-07,28.753,12.209,12.209,0.147,11.667,8.75,11.667,8.75,0.0,29.149,ZBO,"{""C"": 10.83, ""A"": 4.07}","{""A"": 11.67, ""B"": 0.54}"
2036-08,29.149,12.209,12.209,0.147,11.667,8.75,11.667,8.75,0.0,29.545,ZBO,"{""C"": 10.83, ""A"": 5.15}","{""A"": 11.67, ""B"": 0.54}"
2036-09,29.545,12.229,12.229,0.147,11.667,8.75,11.667,8.75,0.0,29.96,ZBO,"{""C"": 10.83, ""A"": 5.15, ""B"": 1.29}","{""A"": 11.67, ""B"": 0.56}"
2036-10,29.96,12.216,12.216,0.147,11.667,8.75,11.667,8.75,0.0,30.363,ZBO,"{""C"": 10.83, ""A"": 3.85}","{""A"": 11.67, ""B"": 0.55}"
2036-11,30.363,11.667,11.667,0.14,11.667,8.75,11.667,8.75,0.0,30.223,ZBO,"{""C"": 10.83, ""A"": 5.14}","{""A"": 11.67}"
2036-12,30.223,11.667,11.667,0.14,11.667,8.75,11.667,8.75,0.0,30.083,ZBO,"{""C"": 10.83, ""A"": 5.14}","{""A"": 11.67}"
2037-01,30.083,27.959,27.959,0.336,15.833,11.25,15.833,11.25,0.0,41.873,ZBO,"{""C"": 10.83, ""A"": 15.83}","{""C"": 10.83, ""A"": 15.83, ""B"": 1.29}"
2037-02,41.873,17.751,17.751,0.213,15.833,11.25,15.833,11.25,0.0,43.577,ZBO,"{""C"": 10.83, ""A"": 15.49}","{""C"": 10.83, ""A"": 6.92}"
2037-03,43.577,15.833,15.833,0.19,15.833,11.25,15.833,11.25,0.0,43.387,ZBO,"{""C"": 10.83, ""A"": 13.31, ""B"": 0.17}","{""C"": 10.83, ""A"": 5.0}"
2037-04,43.387,15.833,15.833,0.19,15.833,11.25,15.833,11.25,0.0,43.197,ZBO,"{""C"": 10.83, ""A"": 13.15, ""B"": 0.04}","{""C"": 10.83, ""A"": 5.0}"
2037-05,43.197,15.853,15.853,0.19,15.833,11.25,15.833,11.25,0.0,43.027,ZBO,"{""C"": 10.83, ""A"": 13.27, ""B"": 0.04}","{""C"": 10.83, ""A"": 5.02}"
2037-06,43.027,15.821,15.821,0.19,15.833,11.25,15.833,11.25,0.0,42.824,ZBO,"{""C"": 10.83, ""A"": 13.27, ""B"": 1.34}","{""C"": 10.83, ""A"": 4.99}"
2037-07,42.824,15.074,15.074,0.181,15.833,11.25,15.833,11.25,0.0,41.884,ZBO,"{""C"": 10.83, ""A"": 11.97, ""B"": 0.04}","{""C"": 10.83, ""A"": 4.07, ""B"": 0.17}"
2037-08,41.884,16.023,16.023,0.192,15.833,11.25,15.833,11.25,0.0,41.882,ZBO,"{""C"": 10.83, ""A"": 13.28, ""B"": 0.05}","{""C"": 10.83, ""A"": 5.15, ""B"": 0.04}"
2037-09,41.882,16.024,16.024,0.192,15.833,11.25,15.833,11.25,0.0,41.88,ZBO,"{""C"": 10.83, ""A"": 13.27, ""B"": 2.01}","{""C"": 10.83, ""A"": 5.15, ""B"": 0.04}"
2037-10,41.88,16.023,16.023,0.192,15.833,11.25,15.833,11.25,0.0,41.877,ZBO,"{""C"": 10.83, ""A"": 11.31}","{""C"": 10.83, ""A"": 3.85, ""B"": 1.34}"
2037-11,41.877,16.014,16.014,0.192,15.833,11.25,15.833,11.25,0.0,41.866,ZBO,"{""D"": 5.88, ""C"": 10.83, ""A"": 7.43}","{""C"": 10.83, ""A"": 5.14, ""B"": 0.04}"
2037-12,41.866,16.026,16.026,0.192,15.833,11.25,15.833,11.25,0.0,41.866,ZBO,"{""C"": 10.83, ""A"": 13.32}","{""C"": 10.83, ""A"": 5.14, ""B"": 0.05}"
2038-01,41.866,31.909,31.909,0.383,23.958,16.292,23.958,16.292,0.0,49.434,ZBO,"{""D"": 0.67, ""C"": 10.83, ""A"": 15.83}","{""C"": 10.83, ""A"": 15.83, ""B"": 2.01, ""D"": 3.24}"
2038-02,49.434,26.321,26.321,0.316,23.958,16.292,23.958,16.292,0.0,51.481,ZBO,"{""D"": 0.29, ""C"": 10.83, ""A"": 15.83}","{""C"": 10.83, ""A"": 15.49}"
2038-03,51.481,24.517,24.517,0.294,23.958,16.292,23.958,16.292,0.0,51.745,ZBO,"{""D"": 0.45, ""C"": 10.83, ""A"": 15.83}","{""C"": 10.83, ""A"": 13.31, ""D"": 0.37}"
2038-04,51.745,24.143,24.143,0.29,23.958,16.292,23.958,16.292,0.0,51.64,ZBO,"{""D"": 0.27, ""C"": 10.83, ""A"": 15.83}","{""C"": 10.83, ""A"": 13.15, ""D"": 0.16}"
