source_id,period,reserved_capacity_t_per_year,ordered_volume_t,planned_delivery_t,actual_delivery_t,lead_time_applied
A,2035-01,100,11,0,0,12 month
A,2035-02,100,11,0,0,12 month
A,2035-03,100,11,0,0,12 month
A,2035-04,100,11,0,0,12 month
A,2035-05,100,11,0,0,12 month
A,2035-06,100,11,0,0,12 month
A,2035-07,100,11,0,0,12 month
A,2035-08,100,11,0,0,12 month
A,2035-09,100,11,0,0,12 month
A,2035-10,100,11,0,0,12 month
A,2035-11,100,11,0,0,12 month
A,2035-12,100,11,0,0,12 month
A,2036-01,132,12.833,11,11,12 month
A,2036-02,132,9.961,11,11,12 month
A,2036-03,132,4.333,11,11,12 month
A,2036-04,132,4.333,11,11,12 month
A,2036-05,132,4.353,11,11,12 month
A,2036-06,132,4.321,11,11,12 month
A,2036-07,132,3.408,11,11,12 month
A,2036-08,132,4.718,11,11,12 month
A,2036-09,132,4.334,11,11,12 month
A,2036-10,132,5.147,11,11,12 month
A,2036-11,132,5.137,11,11,12 month
A,2036-12,132,5.142,11,11,12 month
A,2037-01,154,8.974,12.833,12.833,12 month
A,2037-02,154,10.25,9.961,9.961,12 month
A,2037-03,154,10.182,4.333,4.333,12 month
A,2037-04,154,9.989,4.333,4.333,12 month
A,2037-05,154,9.719,4.353,4.353,12 month
A,2037-06,154,9.333,4.321,4.321,12 month
A,2037-07,154,10.138,3.408,3.408,12 month
A,2037-08,154,10.156,4.718,4.718,12 month
A,2037-09,154,10.142,4.334,4.334,12 month
A,2037-10,154,10.192,5.147,5.147,12 month
A,2037-11,154,0.192,5.137,5.137,12 month
A,2037-12,154,9.957,5.142,5.142,12 month
A,2038-01,154,15.583,8.974,8.974,12 month
A,2038-02,154,15.583,10.25,10.25,12 month
A,2038-03,154,15.583,10.182,10.182,12 month
A,2038-04,154,15.583,9.989,9.989,12 month
A,2038-05,154,15.583,9.719,9.719,12 month
A,2038-06,154,15.583,9.333,9.333,12 month
A,2038-07,154,15.583,10.138,10.138,12 month
A,2038-08,154,15.583,10.156,10.156,12 month
A,2038-09,154,15.583,10.142,10.142,12 month
A,2038-10,154,15.583,10.192,10.192,12 month
A,2038-11,154,8.083,0.192,0.192,12 month
A,2038-12,154,15.583,9.957,9.957,12 month
A,2039-01,187,15.833,15.583,15.583,12 month
A,2039-02,187,15.833,15.583,15.583,12 month
A,2039-03,187,15.833,15.583,15.583,12 month
A,2039-04,187,15.833,15.583,15.583,12 month
A,2039-05,187,15.833,15.583,15.583,12 month
A,2039-06,187,15.833,15.583,15.583,12 month
A,2039-07,187,15.833,15.583,15.583,12 month
A,2039-08,187,15.833,15.583,15.583,12 month
A,2039-09,187,15.833,15.583,15.583,12 month
A,2039-10,187,15.833,15.583,15.583,12 month
A,2039-11,187,15.833,8.083,8.083,12 month
A,2039-12,187,15.833,15.583,15.583,12 month
A,2040-01,190,0,15.833,15.833,12 month
A,2040-02,190,0,15.833,15.833,12 month
A,2040-03,190,0,15.833,15.833,12 month
A,2040-04,190,0,15.833,15.833,12 month
A,2040-05,190,0,15.833,15.833,12 month
A,2040-06,190,0,15.833,15.833,12 month
A,2040-07,190,0,15.833,15.833,12 month
A,2040-08,190,0,15.833,15.833,12 month
A,2040-09,190,0,15.833,15.833,12 month
A,2040-10,190,0,15.833,15.833,12 month
A,2040-11,190,0,15.833,15.833,12 month
A,2040-12,190,0,15.833,15.833,12 month
B,2035-01,110,4.227,0,0,4 month
B,2035-02,110,8.333,0,0,4 month
B,2035-03,110,8.333,0,0,4 month
B,2035-04,110,8.333,0,0,4 month
B,2035-05,110,8.524,4.227,4.227,4 month
B,2035-06,110,8.708,8.333,8.333,4 month
B,2035-07,110,8.708,8.333,8.333,4 month
B,2035-08,110,8.708,8.333,8.333,4 month
B,2035-09,110,7.365,8.524,8.524,4 month
B,2035-10,110,1.059,8.708,8.708,4 month
B,2035-11,110,1.059,8.708,8.708,4 month
B,2035-12,110,1.059,8.708,8.708,4 month
B,2036-01,110,1.493,7.365,7.365,4 month
B,2036-02,110,1.209,1.059,1.059,4 month
B,2036-03,110,1.209,1.059,1.059,4 month
B,2036-04,110,1.209,1.059,1.059,4 month
B,2036-05,110,1.229,1.493,1.493,4 month
B,2036-06,110,1.216,1.209,1.209,4 month
B,2036-07,110,0.428,1.209,1.209,4 month
B,2036-08,110,0.813,1.209,1.209,4 month
B,2036-09,110,0,1.229,1.229,4 month
B,2036-10,110,0,1.216,1.216,4 month
B,2036-11,110,0,0.428,0.428,4 month
B,2036-12,110,0,0.813,0.813,4 month
B,2037-01,110,0,0,0,4 month
B,2037-02,110,0,0,0,4 month
B,2037-03,110,0.193,0,0,4 month
B,2037-04,110,0.464,0,0,4 month
B,2037-05,110,0.849,0,0,4 month
B,2037-06,110,0.035,0,0,4 month
B,2037-07,110,0.036,0.193,0.193,4 month
B,2037-08,110,0.05,0.464,0.464,4 month
B,2037-09,110,0,0.849,0.849,4 month
B,2037-10,110,0,0.035,0.035,4 month
B,2037-11,110,0,0.036,0.036,4 month
B,2037-12,110,0,0.05,0.05,4 month
B,2038-01,110,0,0,0,4 month
B,2038-02,110,0,0,0,4 month
B,2038-03,110,0,0,0,4 month
B,2038-04,110,0,0,0,4 month
B,2038-05,110,0,0,0,4 month
B,2038-06,110,0,0,0,4 month
B,2038-07,110,0,0,0,4 month
B,2038-08,110,0,0,0,4 month
B,2038-09,110,0,0,0,4 month
B,2038-10,110,0,0,0,4 month
B,2038-11,110,0,0,0,4 month
B,2038-12,110,0,0,0,4 month
B,2039-01,110,0,0,0,4 month
B,2039-02,110,0,0,0,4 month
B,2039-03,110,0,0,0,4 month
B,2039-04,110,0,0,0,4 month
B,2039-05,110,0,0,0,4 month
B,2039-06,110,0,0,0,4 month
B,2039-07,110,0,0,0,4 month
B,2039-08,110,0,0,0,4 month
B,2039-09,110,0,0,0,4 month
B,2039-10,110,1.737,0,0,4 month
B,2039-11,110,0,0,0,4 month
B,2039-12,110,1.667,0,0,4 month
B,2040-01,110,0,0,0,4 month
B,2040-02,110,1.667,1.737,1.737,4 month
B,2040-03,110,0,0,0,4 month
B,2040-04,110,1.667,1.667,1.667,4 month
B,2040-05,110,0,0,0,4 month
B,2040-06,110,1.667,1.667,1.667,4 month
B,2040-07,110,0,0,0,4 month
B,2040-08,110,1.667,1.667,1.667,4 month
B,2040-09,110,0,0,0,4 month
B,2040-10,110,0,1.667,1.667,4 month
B,2040-11,110,0,0,0,4 month
B,2040-12,110,0,1.667,1.667,4 month
C,2035-01,0,10.833,0,0,18-24 month (policy: 24)
C,2035-02,0,10.833,0,0,18-24 month (policy: 24)
C,2035-03,0,10.833,0,0,18-24 month (policy: 24)
C,2035-04,0,10.833,0,0,18-24 month (policy: 24)
C,2035-05,0,10.833,0,0,18-24 month (policy: 24)
C,2035-06,0,10.833,0,0,18-24 month (policy: 24)
C,2035-07,0,10.833,0,0,18-24 month (policy: 24)
C,2035-08,0,10.833,0,0,18-24 month (policy: 24)
C,2035-09,0,10.833,0,0,18-24 month (policy: 24)
C,2035-10,0,10.833,0,0,18-24 month (policy: 24)
C,2035-11,0,10.833,0,0,18-24 month (policy: 24)
C,2035-12,0,10.833,0,0,18-24 month (policy: 24)
C,2036-01,0,10.833,0,0,18-24 month (policy: 24)
C,2036-02,0,10.833,0,0,18-24 month (policy: 24)
C,2036-03,0,10.833,0,0,18-24 month (policy: 24)
C,2036-04,0,10.833,0,0,18-24 month (policy: 24)
C,2036-05,0,10.833,0,0,18-24 month (policy: 24)
C,2036-06,0,10.833,0,0,18-24 month (policy: 24)
C,2036-07,0,10.833,0,0,18-24 month (policy: 24)
C,2036-08,0,10.833,0,0,18-24 month (policy: 24)
C,2036-09,0,10.833,0,0,18-24 month (policy: 24)
C,2036-10,0,10.833,0,0,18-24 month (policy: 24)
C,2036-11,0,10.833,0,0,18-24 month (policy: 24)
C,2036-12,0,10.833,0,0,18-24 month (policy: 24)
C,2037-01,130,10.833,10.833,10.833,18-24 month (policy: 24)
C,2037-02,130,10.833,10.833,10.833,18-24 month (policy: 24)
C,2037-03,130,10.833,10.833,10.833,18-24 month (policy: 24)
C,2037-04,130,10.833,10.833,10.833,18-24 month (policy: 24)
C,2037-05,130,10.833,10.833,10.833,18-24 month (policy: 24)
C,2037-06,130,10.833,10.833,10.833,18-24 month (policy: 24)
C,2037-07,130,10.833,10.833,10.833,18-24 month (policy: 24)
C,2037-08,130,10.833,10.833,10.833,18-24 month (policy: 24)
C,2037-09,130,10.833,10.833,10.833,18-24 month (policy: 24)
C,2037-10,130,10.833,10.833,10.833,18-24 month (policy: 24)
C,2037-11,130,10.833,10.833,10.833,18-24 month (policy: 24)
C,2037-12,130,10.833,10.833,10.833,18-24 month (policy: 24)
C,2038-01,130,10.833,10.833,10.833,18-24 month (policy: 24)
C,2038-02,130,10.833,10.833,10.833,18-24 month (policy: 24)
C,2038-03,130,10.833,10.833,10.833,18-24 month (policy: 24)
C,2038-04,130,10.833,10.833,10.833,18-24 month (policy: 24)
C,2038-05,130,10.833,10.833,10.833,18-24 month (policy: 24)
C,2038-06,130,10.833,10.833,10.833,18-24 month (policy: 24)
C,2038-07,130,10.833,10.833,10.833,18-24 month (policy: 24)
C,2038-08,130,10.833,10.833,10.833,18-24 month (policy: 24)
C,2038-09,130,10.833,10.833,10.833,18-24 month (policy: 24)
C,2038-10,130,10.833,10.833,10.833,18-24 month (policy: 24)
C,2038-11,130,10.833,10.833,10.833,18-24 month (policy: 24)
C,2038-12,130,10.833,10.833,10.833,18-24 month (policy: 24)
C,2039-01,130,0,10.833,10.833,18-24 month (policy: 24)
C,2039-02,130,0,10.833,10.833,18-24 month (policy: 24)
C,2039-03,130,0,10.833,10.833,18-24 month (policy: 24)
C,2039-04,130,0,10.833,10.833,18-24 month (policy: 24)
C,2039-05,130,0,10.833,10.833,18-24 month (policy: 24)
C,2039-06,130,0,10.833,10.833,18-24 month (policy: 24)
C,2039-07,130,0,10.833,10.833,18-24 month (policy: 24)
C,2039-08,130,0,10.833,10.833,18-24 month (policy: 24)
C,2039-09,130,0,10.833,10.833,18-24 month (policy: 24)
C,2039-10,130,0,10.833,10.833,18-24 month (policy: 24)
C,2039-11,130,0,10.833,10.833,18-24 month (policy: 24)
C,2039-12,130,0,10.833,10.833,18-24 month (policy: 24)
C,2040-01,130,0,10.833,10.833,18-24 month (policy: 24)
C,2040-02,130,0,10.833,10.833,18-24 month (policy: 24)
C,2040-03,130,0,10.833,10.833,18-24 month (policy: 24)
C,2040-04,130,0,10.833,10.833,18-24 month (policy: 24)
C,2040-05,130,0,10.833,10.833,18-24 month (policy: 24)
C,2040-06,130,0,10.833,10.833,18-24 month (policy: 24)
C,2040-07,130,0,10.833,10.833,18-24 month (policy: 24)
C,2040-08,130,0,10.833,10.833,18-24 month (policy: 24)
C,2040-09,130,0,10.833,10.833,18-24 month (policy: 24)
C,2040-10,130,0,10.833,10.833,18-24 month (policy: 24)
C,2040-11,130,0,10.833,10.833,18-24 month (policy: 24)
C,2040-12,130,0,10.833,10.833,18-24 month (policy: 24)
D,2037-11,0,10,0,0,1-2 month (policy: 2)
D,2037-12,0,0.235,0,0,1-2 month (policy: 2)
D,2038-01,120,0.176,10,10,1-2 month (policy: 2)
D,2038-02,120,0.267,0.235,0.235,1-2 month (policy: 2)
D,2038-03,120,0.536,0.176,0.176,1-2 month (policy: 2)
D,2038-04,120,0.92,0.267,0.267,1-2 month (policy: 2)
D,2038-05,120,0.115,0.536,0.536,1-2 month (policy: 2)
D,2038-06,120,0.097,0.92,0.92,1-2 month (policy: 2)
D,2038-07,120,0.111,0.115,0.115,1-2 month (policy: 2)
D,2038-08,120,0.061,0.097,0.097,1-2 month (policy: 2)
D,2038-09,120,10,0.111,0.111,1-2 month (policy: 2)
D,2038-10,120,0.357,0.061,0.061,1-2 month (policy: 2)
D,2038-11,120,9.202,10,10,1-2 month (policy: 2)
D,2038-12,120,0.504,0.357,0.357,1-2 month (policy: 2)
D,2039-01,120,0.677,9.202,9.202,1-2 month (policy: 2)
D,2039-02,120,0.573,0.504,0.504,1-2 month (policy: 2)
D,2039-03,120,0.575,0.677,0.677,1-2 month (policy: 2)
D,2039-04,120,0.574,0.573,0.573,1-2 month (policy: 2)
D,2039-05,120,0.574,0.575,0.575,1-2 month (policy: 2)
D,2039-06,120,0.574,0.574,0.574,1-2 month (policy: 2)
D,2039-07,120,0.574,0.574,0.574,1-2 month (policy: 2)
D,2039-08,120,0.574,0.574,0.574,1-2 month (policy: 2)
D,2039-09,120,8.074,0.574,0.574,1-2 month (policy: 2)
D,2039-10,120,0.574,0.574,0.574,1-2 month (policy: 2)
D,2039-11,120,6.227,8.074,8.074,1-2 month (policy: 2)
D,2039-12,120,4.421,0.574,0.574,1-2 month (policy: 2)
D,2040-01,120,6.228,6.227,6.227,1-2 month (policy: 2)
D,2040-02,120,4.561,4.421,4.421,1-2 month (policy: 2)
D,2040-03,120,6.228,6.228,6.228,1-2 month (policy: 2)
D,2040-04,120,4.561,4.561,4.561,1-2 month (policy: 2)
D,2040-05,120,6.228,6.228,6.228,1-2 month (policy: 2)
D,2040-06,120,4.561,4.561,4.561,1-2 month (policy: 2)
D,2040-07,120,6.228,6.228,6.228,1-2 month (policy: 2)
D,2040-08,120,4.561,4.561,4.561,1-2 month (policy: 2)
D,2040-09,120,6.228,6.228,6.228,1-2 month (policy: 2)
D,2040-10,120,4.561,4.561,4.561,1-2 month (policy: 2)
D,2040-11,120,0,6.228,6.228,1-2 month (policy: 2)
D,2040-12,120,0,4.561,4.561,1-2 month (policy: 2)
