rule_id,period,passed,actual,limit,excess,severity,source,message_ru
BASE_TOTAL_SERVICE,2035,true,1,0.97,0,hard,constraints.csv,SL_total 2035: 1.0000 ≥ 0.97 (сценарий не BASE — ориентир устойчивости)
BASE_CRITICAL_SERVICE,2035,true,1,0.99,0,hard,constraints.csv,SL_critical 2035: 1.0000 ≥ 0.99 (сценарий не BASE — ориентир устойчивости)
BASE_TOTAL_SERVICE,2036,false,0.9581955071,0.97,0.0118044929,hard,constraints.csv,SL_total 2036: 0.9582 < 0.97 (сценарий не BASE — ориентир устойчивости)
BASE_CRITICAL_SERVICE,2036,true,0.9950793651,0.99,0,hard,constraints.csv,SL_critical 2036: 0.9951 ≥ 0.99 (сценарий не BASE — ориентир устойчивости)
BASE_TOTAL_SERVICE,2037,false,0.7776808,0.97,0.1923192,hard,constraints.csv,SL_total 2037: 0.7777 < 0.97 (сценарий не BASE — ориентир устойчивости)
BASE_CRITICAL_SERVICE,2037,true,1,0.99,0,hard,constraints.csv,SL_critical 2037: 1.0000 ≥ 0.99 (сценарий не BASE — ориентир устойчивости)
BASE_TOTAL_SERVICE,2038,true,0.9944353051,0.97,0,hard,constraints.csv,SL_total 2038: 0.9944 ≥ 0.97 (сценарий не BASE — ориентир устойчивости)
BASE_CRITICAL_SERVICE,2038,true,1,0.99,0,hard,constraints.csv,SL_critical 2038: 1.0000 ≥ 0.99 (сценарий не BASE — ориентир устойчивости)
BASE_TOTAL_SERVICE,2039,true,0.987706275,0.97,0,hard,constraints.csv,SL_total 2039: 0.9877 ≥ 0.97 (сценарий не BASE — ориентир устойчивости)
BASE_CRITICAL_SERVICE,2039,true,1,0.99,0,hard,constraints.csv,SL_critical 2039: 1.0000 ≥ 0.99 (сценарий не BASE — ориентир устойчивости)
BASE_TOTAL_SERVICE,2040,true,1,0.97,0,hard,constraints.csv,SL_total 2040: 1.0000 ≥ 0.97 (сценарий не BASE — ориентир устойчивости)
BASE_CRITICAL_SERVICE,2040,true,1,0.99,0,hard,constraints.csv,SL_critical 2040: 1.0000 ≥ 0.99 (сценарий не BASE — ориентир устойчивости)
CAPEX_2037,2035-2037,true,1430,1800,0,hard,constraints.csv,CAPEX до 2037-12: 1430.0 млн ≤ 1800 млн
CAPEX_2040,2035-2040,true,1430,2800,0,hard,constraints.csv,CAPEX до 2040-12: 1430.0 млн ≤ 2800 млн
RESERVE_45D,2035,true,65,12.32876712,0,hard,constraints.csv,Резерв 45 дн. 2035: запас на 01.01 = 65.00 т ≥ требуемых 12.33 т
RESERVE_45D,2036,true,25.99967,17.26027397,0,hard,constraints.csv,Резерв 45 дн. 2036: запас на 01.01 = 26.00 т ≥ требуемых 17.26 т
RESERVE_45D,2037,false,0,23.42465753,23.42465753,hard,constraints.csv,Резерв 45 дн. 2037: запас на 01.01 = 0.00 т < требуемых 23.42 т
RESERVE_45D,2038,false,0,30.82191781,30.82191781,hard,constraints.csv,Резерв 45 дн. 2038: запас на 01.01 = 0.00 т < требуемых 30.82 т
RESERVE_45D,2039,false,0,39.45205479,39.45205479,hard,constraints.csv,Резерв 45 дн. 2039: запас на 01.01 = 0.00 т < требуемых 39.45 т
RESERVE_45D,2040,false,0.09827333333,48.08219178,47.98391845,hard,constraints.csv,Резерв 45 дн. 2040: запас на 01.01 = 0.10 т < требуемых 48.08 т
EMERGENCY_BASE_STREAK,2035-2040,true,0,2,0,hard,constraints.csv,Emergency как базовый канал: максимальная серия 0 год(а) (лимит 2); базовые годы: нет
CAPACITY_EXCEEDED,2035,true,100,190,0,hard,internal,Резерв канала 'A' на 2035: 100 т/год ≤ мощности 190 т/год
CAPACITY_EXCEEDED,2036,true,140,190,0,hard,internal,Резерв канала 'A' на 2036: 140 т/год ≤ мощности 190 т/год
CAPACITY_EXCEEDED,2037,true,190,190,0,hard,internal,Резерв канала 'A' на 2037: 190 т/год ≤ мощности 190 т/год
CAPACITY_EXCEEDED,2038,true,190,190,0,hard,internal,Резерв канала 'A' на 2038: 190 т/год ≤ мощности 190 т/год
CAPACITY_EXCEEDED,2039,true,190,190,0,hard,internal,Резерв канала 'A' на 2039: 190 т/год ≤ мощности 190 т/год
CAPACITY_EXCEEDED,2040,true,190,190,0,hard,internal,Резерв канала 'A' на 2040: 190 т/год ≤ мощности 190 т/год
CAPACITY_EXCEEDED,2035,true,110,110,0,hard,internal,Резерв канала 'B' на 2035: 110 т/год ≤ мощности 110 т/год
CAPACITY_EXCEEDED,2036,true,110,110,0,hard,internal,Резерв канала 'B' на 2036: 110 т/год ≤ мощности 110 т/год
CAPACITY_EXCEEDED,2037,true,110,110,0,hard,internal,Резерв канала 'B' на 2037: 110 т/год ≤ мощности 110 т/год
CAPACITY_EXCEEDED,2038,true,110,110,0,hard,internal,Резерв канала 'B' на 2038: 110 т/год ≤ мощности 110 т/год
CAPACITY_EXCEEDED,2039,true,110,110,0,hard,internal,Резерв канала 'B' на 2039: 110 т/год ≤ мощности 110 т/год
CAPACITY_EXCEEDED,2040,true,110,110,0,hard,internal,Резерв канала 'B' на 2040: 110 т/год ≤ мощности 110 т/год
CAPACITY_EXCEEDED,2038,true,120,120,0,hard,internal,Резерв канала 'D' на 2038: 120 т/год ≤ мощности 120 т/год
CAPACITY_EXCEEDED,2039,true,120,120,0,hard,internal,Резерв канала 'D' на 2039: 120 т/год ≤ мощности 120 т/год
CAPACITY_EXCEEDED,2040,true,120,120,0,hard,internal,Резерв канала 'D' на 2040: 120 т/год ≤ мощности 120 т/год
ISRU_WITHOUT_CAPEX,2037-11,true,0,0,0,hard,internal,Канал 'D': инвестиция 'LUNAR_ISRU' (fund_capex) присутствует в плане
ISRU_FIRST_YEAR_RELIABILITY,2038,true,0,0.78,0,soft,internal,План не заявляет надёжность канала D 2038 выше 0.78 (CASE_INPUT)
CAPACITY_EXCEEDED,2035-01,false,11.667,8.333333333,3.333666667,hard,internal,Заказ канала 'A' в период 2035-01 (11.6670 т) превышает месячную долю зарезервированной мощности 2035 года (8.3333 т = 100 т/год ÷ 12); излишек 3.3337 т
CAPACITY_EXCEEDED,2035-02,false,11.667,8.333333333,3.333666667,hard,internal,Заказ канала 'A' в период 2035-02 (11.6670 т) превышает месячную долю зарезервированной мощности 2035 года (8.3333 т = 100 т/год ÷ 12); излишек 3.3337 т
CAPACITY_EXCEEDED,2035-03,false,11.667,8.333333333,3.333666667,hard,internal,Заказ канала 'A' в период 2035-03 (11.6670 т) превышает месячную долю зарезервированной мощности 2035 года (8.3333 т = 100 т/год ÷ 12); излишек 3.3337 т
CAPACITY_EXCEEDED,2035-04,false,11.667,8.333333333,3.333666667,hard,internal,Заказ канала 'A' в период 2035-04 (11.6670 т) превышает месячную долю зарезервированной мощности 2035 года (8.3333 т = 100 т/год ÷ 12); излишек 3.3337 т
CAPACITY_EXCEEDED,2035-05,false,11.667,8.333333333,3.333666667,hard,internal,Заказ канала 'A' в период 2035-05 (11.6670 т) превышает месячную долю зарезервированной мощности 2035 года (8.3333 т = 100 т/год ÷ 12); излишек 3.3337 т
CAPACITY_EXCEEDED,2035-06,false,11.667,8.333333333,3.333666667,hard,internal,Заказ канала 'A' в период 2035-06 (11.6670 т) превышает месячную долю зарезервированной мощности 2035 года (8.3333 т = 100 т/год ÷ 12); излишек 3.3337 т
CAPACITY_EXCEEDED,2035-07,false,11.667,8.333333333,3.333666667,hard,internal,Заказ канала 'A' в период 2035-07 (11.6670 т) превышает месячную долю зарезервированной мощности 2035 года (8.3333 т = 100 т/год ÷ 12); излишек 3.3337 т
CAPACITY_EXCEEDED,2035-08,false,11.667,8.333333333,3.333666667,hard,internal,Заказ канала 'A' в период 2035-08 (11.6670 т) превышает месячную долю зарезервированной мощности 2035 года (8.3333 т = 100 т/год ÷ 12); излишек 3.3337 т
CAPACITY_EXCEEDED,2035-09,false,11.667,8.333333333,3.333666667,hard,internal,Заказ канала 'A' в период 2035-09 (11.6670 т) превышает месячную долю зарезервированной мощности 2035 года (8.3333 т = 100 т/год ÷ 12); излишек 3.3337 т
CAPACITY_EXCEEDED,2035-10,false,11.667,8.333333333,3.333666667,hard,internal,Заказ канала 'A' в период 2035-10 (11.6670 т) превышает месячную долю зарезервированной мощности 2035 года (8.3333 т = 100 т/год ÷ 12); излишек 3.3337 т
CAPACITY_EXCEEDED,2035-11,false,11.667,8.333333333,3.333666667,hard,internal,Заказ канала 'A' в период 2035-11 (11.6670 т) превышает месячную долю зарезервированной мощности 2035 года (8.3333 т = 100 т/год ÷ 12); излишек 3.3337 т
CAPACITY_EXCEEDED,2035-12,false,11.667,8.333333333,3.333666667,hard,internal,Заказ канала 'A' в период 2035-12 (11.6670 т) превышает месячную долю зарезервированной мощности 2035 года (8.3333 т = 100 т/год ÷ 12); излишек 3.3337 т
CAPACITY_EXCEEDED,2036-01,false,15.833,11.66666667,4.166333333,hard,internal,Заказ канала 'A' в период 2036-01 (15.8330 т) превышает месячную долю зарезервированной мощности 2036 года (11.6667 т = 140 т/год ÷ 12); излишек 4.1663 т
CAPACITY_EXCEEDED,2036-02,false,15.833,11.66666667,4.166333333,hard,internal,Заказ канала 'A' в период 2036-02 (15.8330 т) превышает месячную долю зарезервированной мощности 2036 года (11.6667 т = 140 т/год ÷ 12); излишек 4.1663 т
CAPACITY_EXCEEDED,2036-03,false,15.833,11.66666667,4.166333333,hard,internal,Заказ канала 'A' в период 2036-03 (15.8330 т) превышает месячную долю зарезервированной мощности 2036 года (11.6667 т = 140 т/год ÷ 12); излишек 4.1663 т
CAPACITY_EXCEEDED,2036-04,false,15.833,11.66666667,4.166333333,hard,internal,Заказ канала 'A' в период 2036-04 (15.8330 т) превышает месячную долю зарезервированной мощности 2036 года (11.6667 т = 140 т/год ÷ 12); излишек 4.1663 т
CAPACITY_EXCEEDED,2036-05,false,15.833,11.66666667,4.166333333,hard,internal,Заказ канала 'A' в период 2036-05 (15.8330 т) превышает месячную долю зарезервированной мощности 2036 года (11.6667 т = 140 т/год ÷ 12); излишек 4.1663 т
CAPACITY_EXCEEDED,2036-06,false,15.833,11.66666667,4.166333333,hard,internal,Заказ канала 'A' в период 2036-06 (15.8330 т) превышает месячную долю зарезервированной мощности 2036 года (11.6667 т = 140 т/год ÷ 12); излишек 4.1663 т
CAPACITY_EXCEEDED,2036-07,false,15.833,11.66666667,4.166333333,hard,internal,Заказ канала 'A' в период 2036-07 (15.8330 т) превышает месячную долю зарезервированной мощности 2036 года (11.6667 т = 140 т/год ÷ 12); излишек 4.1663 т
CAPACITY_EXCEEDED,2036-08,false,15.833,11.66666667,4.166333333,hard,internal,Заказ канала 'A' в период 2036-08 (15.8330 т) превышает месячную долю зарезервированной мощности 2036 года (11.6667 т = 140 т/год ÷ 12); излишек 4.1663 т
