source_id,period,reserved_capacity_t_per_year,ordered_volume_t,planned_delivery_t,actual_delivery_t,lead_time_applied
A,2035-01,100,11.667,0,0,12 month
A,2035-02,100,11.667,0,0,12 month
A,2035-03,100,11.667,0,0,12 month
A,2035-04,100,11.667,0,0,12 month
A,2035-05,100,11.667,0,0,12 month
A,2035-06,100,11.667,0,0,12 month
A,2035-07,100,11.667,0,0,12 month
A,2035-08,100,11.667,0,0,12 month
A,2035-09,100,11.667,0,0,12 month
A,2035-10,100,11.667,0,0,12 month
A,2035-11,100,11.667,0,0,12 month
A,2035-12,100,11.667,0,0,12 month
A,2036-01,140,15.833,11.667,11.667,12 month
A,2036-02,140,4.76,11.667,11.667,12 month
A,2036-03,140,5,11.667,11.667,12 month
A,2036-04,140,5,11.667,11.667,12 month
A,2036-05,140,5.024,11.667,11.667,12 month
A,2036-06,140,4.983,11.667,11.667,12 month
A,2036-07,140,4.075,11.667,11.667,12 month
A,2036-08,140,5.147,11.667,11.667,12 month
A,2036-09,140,5.147,11.667,11.667,12 month
A,2036-10,140,5.147,11.667,11.667,12 month
A,2036-11,140,5.14,11.667,11.667,12 month
A,2036-12,140,5.14,11.667,11.667,12 month
A,2037-01,190,11.887,15.833,15.833,12 month
A,2037-02,190,10.09,4.76,4.76,12 month
A,2037-03,190,9.986,5,5,12 month
A,2037-04,190,9.075,5,5,12 month
A,2037-05,190,10.148,5.024,5.024,12 month
A,2037-06,190,10.148,4.983,4.983,12 month
A,2037-07,190,10.147,4.075,4.075,12 month
A,2037-08,190,10.14,5.147,5.147,12 month
A,2037-09,190,10.14,5.147,5.147,12 month
A,2037-10,190,10.192,5.147,5.147,12 month
A,2037-11,190,0.192,5.14,5.14,12 month
A,2037-12,190,9.833,5.14,5.14,12 month
A,2038-01,190,15.833,11.887,11.887,12 month
A,2038-02,190,15.833,10.09,10.09,12 month
A,2038-03,190,15.833,9.986,9.986,12 month
A,2038-04,190,15.833,9.075,9.075,12 month
A,2038-05,190,15.833,10.148,10.148,12 month
A,2038-06,190,15.833,10.148,10.148,12 month
A,2038-07,190,15.833,10.147,10.147,12 month
A,2038-08,190,15.833,10.14,10.14,12 month
A,2038-09,190,15.833,10.14,10.14,12 month
A,2038-10,190,15.605,10.192,10.192,12 month
A,2038-11,190,6.086,0.192,0.192,12 month
A,2038-12,190,15.809,9.833,9.833,12 month
